TransactionID;Date;Count;Cost;Delivery;Bad;Paid;Weight;Promo;AutoIssue
1;2020-Aug-21 8:53:03;67;6325;0;0;2605;5481;0;0
2;2019-Sep-3 11:53:03;90;8307;1;1;8553;5956;1;1
3;2019-Oct-15 4:31:02;59;9819;0;1;9995;5170;1;0
4;2019-Aug-26 4:14:00;14;5351;1;1;12603;8826;0;0
5;2020-Aug-27 1:21:03;14;7779;1;0;5625;5357;0;0
6;2020-Aug-19 16:41:01;51;6595;1;1;9191;8717;0;0
7;2019-Aug-26 18:49:04;9;6764;1;1;13167;9407;1;1
8;2020-Aug-23 13:34:03;45;6381;0;0;6251;9227;0;0
9;2020-Aug-31 16:57:02;31;8795;0;1;2047;6044;0;1
10;2020-Aug-29 9:18:01;41;4175;0;1;6300;7866;1;1
11;2019-Oct-25 14:31:00;55;8403;0;1;10468;8800;1;1
12;2020-Aug-25 9:44:05;91;5359;1;1;8030;8058;1;0
13;2020-Aug-23 14:48:02;29;7208;1;1;6458;4117;0;1
14;2019-Oct-24 13:52:04;55;4079;1;1;11442;8513;0;0
15;2019-Nov-9 7:15:00;27;6571;0;0;3254;5345;0;1
16;2019-Jul-15 11:30:00;55;8435;1;0;608;5063;0;1
17;2019-Apr-21 6:46:01;79;4147;1;0;1169;9909;0;1
18;2020-Aug-22 8:45:00;40;7588;0;1;9323;5425;0;0
19;2019-Dec-15 18:45:00;87;8733;0;0;1596;5352;0;1
20;2019-Aug-17 18:15:00;63;7519;1;1;12434;6916;1;0
21;2019-Nov-12 7:15:03;39;5728;0;0;5184;9197;0;0
22;2019-Apr-1 12:20:04;29;8313;0;0;8523;8088;0;0
23;2020-May-30 17:30:00;38;8890;1;0;7429;9422;0;0
24;2019-Sep-15 7:45:00;17;4518;0;0;10763;9815;1;1
25;2020-Jun-23 9:45:00;94;7078;0;0;2201;7258;0;0
26;2019-Sep-24 13:45:00;21;6744;1;1;392;8899;1;1
27;2019-May-19 20:01:01;53;5721;0;0;14428;9049;0;0
